baseline,tpr,fpr,latency_us,n_messages
auth_only,0.0,0.0,0.8920032996684313,200
tls_oauth,0.0,0.0,0.8519855327904224,200
cap_no_audit,0.0,0.0,127.69100430887192,200
anomaly_no_crypto,0.0,0.0,2.1939922589808702,200
cgatc_full,0.0,0.0,311.63600215222687,200
auth_only,0.0,0.0,0.9219947969540954,100
tls_oauth,0.0,0.0,0.9014911483973265,100
cap_no_audit,0.0,0.0,129.84500790480524,100
anomaly_no_crypto,0.9797979797979798,0.0,3.0859955586493015,100
cgatc_full,1.0,0.0,151.6110060038045,100
auth_only,0.0,0.0,0.8819915819913149,200
tls_oauth,0.0,0.0,0.8709903340786695,200
cap_no_audit,0.0,0.0,129.18350694235414,200
anomaly_no_crypto,0.97,0.0,2.113491063937545,200
cgatc_full,0.99,0.0,304.1520103579387,200
auth_only,0.0,0.0,0.9014911483973265,100
tls_oauth,0.0,0.0,0.8619972504675388,100
cap_no_audit,0.0,0.0,131.1624946538359,100
anomaly_no_crypto,0.94,0.0,2.405009581707418,100
cgatc_full,0.98,0.0,298.92749444115907,100
